ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"103.9.188.138","elite","AS38901","KH","EZECOM CO., LTD.","216","EZECOM limited","52269","socks4","71","2","2024-04-04T23:24:09.000Z","97","6621","6807"
"103.212.93.254","elite","AS138312","IN","Best Telnet Services Private Limited","188","Best telnet services private limited","45639","socks4","8090","2","2024-04-04T23:24:09.003Z","99","6641","6716"
"177.104.192.122","elite","AS262632","BR","Grajaunet Telecomunicacoes Eireli","283","Grajaunet Telecomunicacoes Eireli","41443","socks4","65","5","2024-04-04T23:24:08.812Z","100","6732","6750"
"180.246.79.160","elite","AS7713","ID","PT. TELKOM INDONESIA","172","N/A","8080","socks4","72","2","2024-04-04T23:24:08.711Z","89","5961","6672"
"186.46.198.218","elite","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","198","Corporacion Nacional De Telecomunicaciones - CNT EP","5678","socks4","4803","3","2024-04-04T23:24:08.806Z","51","3469","6786"
"88.255.64.83","elite","AS9121","TR","Turk Telekomunikasyon Anonim Sirketi","74","Tulip Group Internet Erisim Hizmetleri","1080","socks4","1100","86","2024-04-04T23:24:08.717Z","25","1671","6769"
"23.225.14.198","elite","AS40065","US","Cnservers LLC","214","CloudRadium L.L.C","59774","socks5","3200","2","2024-04-04T23:24:08.903Z","76","5199","6814"
"27.19.223.228","elite","AS58563","CN","CHINANET Hubei province network","202","Chinanet HB","44844","socks4","4998","2","2024-04-04T23:24:08.703Z","70","4729","6712"
"185.169.181.11","elite","AS34984","TR","Ates Dc","77","Ibrahim MALA trading as Ates Dc","4145","socks4","72","82","2024-04-04T23:24:08.803Z","100","6747","6775"
"168.205.217.41","elite","AS264869","BR","SPEED MAX TELECOMUNICAÇÕES LTDA ME","222","SPEED MAX TELECOMUNICAÇÕES LTDA ME","4145","socks5","5006","93","2024-04-04T23:24:08.809Z","77","5221","6773"
"103.194.89.173","elite","AS134319","IN","Elyzium Technologies Pvt. Ltd.","192","Elyzium Technologies Pvt. Ltd.","9898","socks4","428","91","2024-04-04T23:24:08.814Z","98","6651","6782"
"38.127.179.140","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","11537","socks4","80","82","2024-04-04T23:24:08.706Z","100","6698","6708"
"51.77.73.68","elite","AS16276","ES","OVH SAS","11","Sastre Vazquez Antonio","31979","socks4","802","2","2024-04-04T23:24:08.709Z","100","6663","6671"
"103.242.107.241","elite","AS58821","ID","PT Lintas Jaringan Nusantara","194","PT Lintas Jaringan Nusantara","4145","socks4","67","4","2024-04-04T23:24:08.800Z","27","1822","6800"
"177.38.244.1","elite","AS52974","BR","Henet Telecomunicacoes Ltda","218","Lourivaldo Freitas Santos","5678","socks4","76","2","2024-04-04T23:24:08.700Z","100","6686","6713"
"85.214.94.105","elite","AS6724","DE","Strato AG","26","Strato AG","12126","socks4","798","2","2024-04-04T23:24:08.607Z","100","6699","6703"
"103.39.236.205","elite","AS133255","IN","Elxer Communications Private Limited","171","Elxer Communications Private Limited","8080","socks4","1989","2","2024-04-04T23:24:08.714Z","97","6525","6746"
"103.214.156.32","elite","AS135339","BD","Fuad Muhammad Shorfuddin","209","N/A","5678","socks4","68","1","2024-04-04T23:24:08.913Z","91","6171","6762"
